"Proportion of households state pension was majority of household income"
"(%) by Electoral Division and Year"

" ","2016"
"020 Palmerston West, South Dublin",8.6
"021 Rathcoole, South Dublin",10.0
"022 Rathfarnham-Ballyroan, South Dublin",15.3
"023 Rathfarnham-Butterfield, South Dublin",14.0
"024 Rathfarnham-Hermitage, South Dublin",7.0
"025 Rathfarnham-St. Enda's, South Dublin",11.3
"026 Rathfarnham Village, South Dublin",9.7
"027 Saggart, South Dublin",5.1
"028 Tallaght-Avonbeg, South Dublin",23.8
"029 Tallaght-Belgard, South Dublin",15.4
"030 Tallaght-Fettercairn, South Dublin",5.6
"031 Tallaght-Glenview, South Dublin",13.9
"032 Tallaght-Jobstown, South Dublin",3.2
"033 Tallaght-Killinardan, South Dublin",12.8
"034 Tallaght-Kilnamanagh, South Dublin",12.8
"035 Tallaght-Kiltipper, South Dublin",5.6
"036 Tallaght-Kingswood, South Dublin",10.9
"037 Tallaght-Millbrook, South Dublin",26.4
"038 Tallaght-Oldbawn, South Dublin",17.4
"039 Tallaght-Springfield, South Dublin",9.4
"040 Tallaght-Tymon, South Dublin",19.8
"041 Templeogue-Cypress, South Dublin",13.1
"042 Templeogue-Kimmage Manor, South Dublin",10.3
"043 Templeogue-Limekiln, South Dublin",23.3
"044 Templeogue-Orwell, South Dublin",13.7
"045 Templeogue-Osprey, South Dublin",12.4
"046 Templeogue Village, South Dublin",11.3
"047 Terenure-Cherryfield, South Dublin",21.4
"048 Terenure-Greentrees, South Dublin",24.4
"049 Terenure-St. James, South Dublin",37.7
"001 Airport, Fingal",1.2
"002 Balbriggan Rural, Fingal",3.7
"003 Balbriggan Urban, Fingal",12.9
"004 Baldoyle, Fingal",13.4
"005 Balgriffin, Fingal",3.1
"006 Ballyboghil, Fingal",11.2
"007 Balscadden, Fingal",13.7
"008 Blanchardstown-Abbotstown, Fingal",2.6
"009 Blanchardstown-Blakestown, Fingal",3.2
"010 Blanchardstown-Coolmine, Fingal",7.0
"011 Blanchardstown-Corduff, Fingal",14.1
"012 Blanchardstown-Delwood, Fingal",9.4
"013 Blanchardstown-Mulhuddart, Fingal",3.0
"014 Blanchardstown-Roselawn, Fingal",16.3
"015 Blanchardstown-Tyrrelstown, Fingal",3.2
"016 Castleknock-Knockmaroon, Fingal",3.7
"017 Castleknock-Park, Fingal",5.0
"018 Clonmethan, Fingal",11.3
"019 Donabate, Fingal",6.5
"020 Dubber, Fingal",2.5
"021 Garristown, Fingal",13.4
"022 Hollywood, Fingal",9.8
"023 Holmpatrick, Fingal",13.6
"024 Howth, Fingal",12.2
"025 Kilsallaghan, Fingal",13.5
"026 Kinsaley, Fingal",3.1
"027 Lucan North, Fingal",1.9
"028 Lusk, Fingal",6.5
"029 Malahide East, Fingal",9.0
"030 Malahide West, Fingal",11.0
"031 Portmarnock North, Fingal",11.5
"032 Portmarnock South, Fingal",10.8
"033 Rush, Fingal",9.8
"034 Skerries, Fingal",11.1
"035 Sutton, Fingal",13.9
"036 Swords-Forrest, Fingal",4.1
"037 Swords-Glasmore, Fingal",10.0
"038 Swords-Lissenhall, Fingal",4.4
"039 Swords-Seatown, Fingal",7.0
"040 Swords Village, Fingal",9.5
"041 The Ward, Fingal",1.5
"042 Turnapin, Fingal",11.1
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",14.8
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",21.5
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",8.4
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",16.7
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",18.7
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",9.3
"007 Ballybrack, Dún Laoghaire-Rathdown",17.0
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",5.7
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",6.8
"010 Blackrock-Central, Dún Laoghaire-Rathdown",6.5
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",6.5
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",9.9
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",10.8
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",5.6
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",12.6
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",10.1
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",6.7
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",13.4
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",22.1
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",3.2
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",12.3
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",15.8
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",9.2
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",19.0
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",10.9
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",8.6
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",2.7
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",17.1
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",4.7
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",5.9
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",11.2
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",11.1
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",13.1
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",16.9
"035 Dalkey Hill, Dún Laoghaire-Rathdown",14.6
"036 Dalkey Upper, Dún Laoghaire-Rathdown",10.3
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",8.2
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",6.5
"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",6.0
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",14.6
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",11.0
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",7.9
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",15.1
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",10.0
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",14.2
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",13.5
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",12.6
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",18.8
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",14.0
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",14.1
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",9.8
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",11.8
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",12.9
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",8.1
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",9.3
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",7.8
"057 Glencullen, Dún Laoghaire-Rathdown",3.7
"058 Killiney North, Dún Laoghaire-Rathdown",9.0
"059 Killiney South, Dún Laoghaire-Rathdown",9.3
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",7.6
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",17.1
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",10.5
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",8.7
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",12.8
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",7.4
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",9.5
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",8.3
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",6.1
"069 Tibradden, Dún Laoghaire-Rathdown",4.7
"001 Athy East Urban, Co. Kildare",13.5
"002 Athy West Urban, Co. Kildare",15.0
"003 Naas Urban, Co. Kildare",8.1
"004 Athy Rural (Part Rural), Co. Kildare",9.3
"005 Ballaghmoon, Co. Kildare",16.7
"006 Ballitore, Co. Kildare",15.4
"007 Ballybrackan, Co. Kildare",12.5
"008 Ballyshannon, Co. Kildare",9.4
"009 Belan, Co. Kildare",18.8
"010 Bert, Co. Kildare",9.7
"011 Burtown, Co. Kildare",21.3
"012 Carrigeen, Co. Kildare",13.3
"013 Castledermot, Co. Kildare",13.6
"014 Churchtown, Co. Kildare",15.1
"015 Dunmanoge, Co. Kildare",19.7
"016 Fontstown, Co. Kildare",18.8
"017 Graney, Co. Kildare",14.4
"018 Grangemellon, Co. Kildare",16.4
"019 Harristown, Co. Kildare",11.3
"020 Inchaquire, Co. Kildare",7.9
"021 Johnstown, Co. Kildare",15.3
"022 Kilberry, Co. Kildare",13.9
"023 Kildangan, Co. Kildare",8.0
"024 Kilkea, Co. Kildare",20.2
"025 Kilrush, Co. Kildare",10.6
"026 Lackagh, Co. Kildare",8.4
"027 Monasterevin, Co. Kildare",11.5
"028 Moone, Co. Kildare",14.9
"029 Narraghmore, Co. Kildare",10.1
"030 Nurney, Co. Kildare",7.5
"031 Quinsborough, Co. Kildare",3.8
"032 Skerries, Co. Kildare",11.2
"033 Balraheen, Co. Kildare",11.5
"034 Celbridge, Co. Kildare",6.3
"035 Cloncurry, Co. Kildare",9.0
"036 Donadea, Co. Kildare",13.6
"037 Donaghcumper, Co. Kildare",5.2
"038 Kilcock, Co. Kildare",6.4
"039 Leixlip, Co. Kildare",9.7
"040 Maynooth, Co. Kildare",5.3
"041 Straffan, Co. Kildare",9.0
"042 Ballynadrumny, Co. Kildare",20.3
"043 Cadamstown, Co. Kildare",10.6
"044 Carbury, Co. Kildare",13.5
"045 Carrick, Co. Kildare",10.8
"046 Cloncurry, Co. Kildare",11.1
"047 Drehid, Co. Kildare",14.5
"048 Dunfierth, Co. Kildare",12.4
"049 Killinthomas, Co. Kildare",11.7
"050 Kilpatrick, Co. Kildare",19.4
"051 Kilrainy, Co. Kildare",14.4
"052 Lullymore, Co. Kildare",16.1
"053 Rathangan, Co. Kildare",12.2
"054 Thomastown, Co. Kildare",10.3
"055 Windmill Cross, Co. Kildare",12.9
"056 Ballymore Eustace, Co. Kildare",14.3
"057 Ballysax East, Co. Kildare",11.7
"058 Ballysax West, Co. Kildare",14.2
"059 Bodenstown, Co. Kildare",5.8
"060 Carnalway, Co. Kildare",11.7
"061 Carragh, Co. Kildare",8.0
"062 Clane, Co. Kildare",7.4
"063 Donore, Co. Kildare",11.5
"064 Downings, Co. Kildare",12.5
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",7.4
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",12.4
"067 Dunmurry, Co. Kildare",13.1
"068 Feighcullen, Co. Kildare",16.7
"069 Gilltown, Co. Kildare",15.4
"070 Kilcullen, Co. Kildare",10.8
"071 Kildare, Co. Kildare",10.1
"072 Kill, Co. Kildare",7.4
"073 Killashee, Co. Kildare",11.2
"074 Kilmeage North, Co. Kildare",10.3
"075 Kilmeage South, Co. Kildare",9.3
"076 Kilteel, Co. Kildare",17.6
"077 Ladytown, Co. Kildare",5.6
"078 Morristownbiller, Co. Kildare",8.2
"079 Naas Rural, Co. Kildare",4.3
"080 Newtown, Co. Kildare",8.5
"081 Oldconnell, Co. Kildare",11.8
"082 Oughterard, Co. Kildare",13.0
"083 Pollardstown, Co. Kildare",9.9
"084 Rathernan, Co. Kildare",13.1
"085 Rathmore, Co. Kildare",8.9
"086 Robertstown, Co. Kildare",13.8
"087 Timahoe North, Co. Kildare",13.3
"088 Timahoe South, Co. Kildare",10.0
"089 Usk, Co. Kildare",13.8
"001 Kilkenny No. 1 Urban, Co. Kilkenny",14.6
"002 Kilkenny No. 2 Urban, Co. Kilkenny",16.5
"003 Burnchurch, Co. Kilkenny",15.1
"004 Callan Rural, Co. Kilkenny",13.0
"005 Callan Urban, Co. Kilkenny",17.0
"006 Coolaghmore, Co. Kilkenny",16.9
"007 Dunamaggan, Co. Kilkenny",18.6
"008 Earlstown, Co. Kilkenny",8.0
"009 Kells, Co. Kilkenny",10.6
"010 Killamery, Co. Kilkenny",14.6
"011 Kilmaganny, Co. Kilkenny",17.7
"012 Kilmanagh, Co. Kilkenny",14.7
"013 Mallardstown, Co. Kilkenny",19.2
"014 Scotsborough, Co. Kilkenny",14.0
"015 Tullaghanbrogue, Co. Kilkenny",16.8
"016 Boolyglass, Co. Kilkenny",23.4
"017 Fiddown, Co. Kilkenny",13.0
"018 Muckalee, Co. Kilkenny",18.2
"019 Pilltown, Co. Kilkenny",18.5
"020 Templeorum, Co. Kilkenny",10.0
"021 Tubbrid, Co. Kilkenny",18.5
"022 Tullahought, Co. Kilkenny",15.7
"023 Whitechurch, Co. Kilkenny",15.1
"024 Attanagh, Co. Kilkenny",16.5
"025 Ballyragget, Co. Kilkenny",15.0
"026 Castlecomer, Co. Kilkenny",19.4
"027 Clogh, Co. Kilkenny",20.8
"028 Clogharinka, Co. Kilkenny",10.5
"029 Kilmacar, Co. Kilkenny",15.0
"030 Moneenroe, Co. Kilkenny",19.2
"031 Mothell, Co. Kilkenny",14.7
"032 Muckalee, Co. Kilkenny",13.0
"033 Brownsford, Co. Kilkenny",19.1
"034 Dysartmoon, Co. Kilkenny",20.7
"035 Jerpoint West, Co. Kilkenny",14.8
"036 Listerlin, Co. Kilkenny",14.5
"037 Rosbercon Rural, Co. Kilkenny",17.1
"038 Shanbogh, Co. Kilkenny",19.2
"039 The Rower, Co. Kilkenny",14.7
"040 Ballinamara, Co. Kilkenny",8.9
"041 Ballybeagh, Co. Kilkenny",15.1
"042 Ballycallan, Co. Kilkenny",15.4
"043 Clara, Co. Kilkenny",13.6
"044 Coolcraheen, Co. Kilkenny",18.1
"045 Dunbell, Co. Kilkenny",14.6
"046 Dunmore, Co. Kilkenny",6.2
"047 Freshford, Co. Kilkenny",22.5
"048 Gowran, Co. Kilkenny",11.7
"049 Grange, Co. Kilkenny",10.0
"050 Kilkenny Rural, Co. Kilkenny",7.9
"051 Kilkieran, Co. Kilkenny",10.5
"052 Odagh, Co. Kilkenny",15.9
"053 Outrath, Co. Kilkenny",10.5
"054 Paulstown, Co. Kilkenny",9.6
"055 Rathcoole, Co. Kilkenny",14.9
"056 Rathealy, Co. Kilkenny",10.6
"057 St. Canice, Co. Kilkenny",10.2
"058 Shankill, Co. Kilkenny",11.1
"059 Tiscoffin, Co. Kilkenny",10.9
"060 Tullaroan, Co. Kilkenny",14.6
"061 Aghaviller, Co. Kilkenny",9.7
"062 Ballyhale, Co. Kilkenny",17.6
"063 Ballyvool, Co. Kilkenny",6.5
"064 Bennettsbridge, Co. Kilkenny",18.8
"065 Bramblestown, Co. Kilkenny",16.3
"066 Castlebanny, Co. Kilkenny",9.1
"067 Castlegannon, Co. Kilkenny",9.8
"068 Coolhill, Co. Kilkenny",17.6
"069 Danesfort, Co. Kilkenny",15.1
"070 Ennisnag, Co. Kilkenny",10.2
"071 Famma, Co. Kilkenny",18.7
"072 Freaghana, Co. Kilkenny",14.5
"073 Goresbridge, Co. Kilkenny",17.3
"074 Graiguenamanagh, Co. Kilkenny",20.5
"075 Inistioge, Co. Kilkenny",20.2
"076 Jerpoint Church, Co. Kilkenny",13.3
"077 Kilfane, Co. Kilkenny",20.6
"078 Kilkeasy, Co. Kilkenny",16.2
"079 Kiltorcan, Co. Kilkenny",9.1
"080 Knocktopher, Co. Kilkenny",11.9
"081 Pleberstown, Co. Kilkenny",13.6
"082 Powerstown, Co. Kilkenny",16.0
"083 Stonyford, Co. Kilkenny",14.4
"084 Thomastown, Co. Kilkenny",15.0
"085 Tullaherin, Co. Kilkenny",14.7
"086 Ullard, Co. Kilkenny",17.2
"087 Woolengrange, Co. Kilkenny",17.5
"088 Balleen, Co. Kilkenny",14.1
"089 Ballyconra, Co. Kilkenny",19.5
"090 Baunmore, Co. Kilkenny",20.8
"091 Clomantagh, Co. Kilkenny",21.4
"092 Galmoy, Co. Kilkenny",21.2
"093 Glashare, Co. Kilkenny",18.9
"094 Johnstown, Co. Kilkenny",18.2
"095 Lisdowney, Co. Kilkenny",9.1
"096 Rathbeagh, Co. Kilkenny",18.8
"097 Tubbridbrittain, Co. Kilkenny",15.6
"098 Urlingford, Co. Kilkenny",16.4
"099 Aglish, Co. Kilkenny",20.1
"100 Ballincrea, Co. Kilkenny",14.4
"101 Dunkitt, Co. Kilkenny",18.1
"102 Farnoge, Co. Kilkenny",15.0
"103 Kilbeacon, Co. Kilkenny",6.3
"104 Kilbride, Co. Kilkenny",14.0
"105 Kilcolumb, Co. Kilkenny",11.2
"106 Kilculliheen (part), Co. Kilkenny",7.4
"107 Killahy, Co. Kilkenny",18.8
"108 Kilmakevoge, Co. Kilkenny",16.8
"109 Pollrone, Co. Kilkenny",15.9
"110 Portnascully, Co. Kilkenny",15.1
"111 Rathpatrick, Co. Kilkenny",17.5
"112 Rossinan, Co. Kilkenny",15.3
"113 Ullid, Co. Kilkenny",14.8
"001 Abbeyleix, Co. Laois",17.5
"002 Aghmacart, Co. Laois",15.7
"003 Ballinakill, Co. Laois",14.5
"004 Ballyroan, Co. Laois",9.2
"005 Blandsfort, Co. Laois",25.5
"006 Caher, Co. Laois",22.9
"007 Castletown, Co. Laois",19.2
"008 Clash, Co. Laois",13.2
"009 Clonkeen, Co. Laois",10.1
"010 Colt, Co. Laois",19.7
"011 Cuffsborough, Co. Laois",9.4
"012 Cullahill, Co. Laois",12.1
"013 Cullenagh, Co. Laois",15.2
"014 Donaghmore, Co. Laois",15.6
