"Proportion of households working age social welfare was majority of"
"household income (%) by Electoral Division and Year"

" ","2016"
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",9.1
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",3.0
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",10.5
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",3.5
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",3.5
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",2.0
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",9.8
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",1.9
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",4.1
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",4.9
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",1.4
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",3.4
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",7.1
"035 Dalkey Hill, Dún Laoghaire-Rathdown",4.3
"036 Dalkey Upper, Dún Laoghaire-Rathdown",1.7
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",7.2
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",3.9
"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",5.7
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",2.9
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",4.9
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",9.9
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",5.7
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",6.2
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",10.0
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",17.2
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",11.3
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",11.3
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",12.7
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",4.2
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",7.0
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",12.5
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",1.7
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",2.1
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",2.4
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",2.4
"057 Glencullen, Dún Laoghaire-Rathdown",6.3
"058 Killiney North, Dún Laoghaire-Rathdown",3.1
"059 Killiney South, Dún Laoghaire-Rathdown",14.2
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",10.8
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",10.8
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",6.3
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",1.3
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",3.7
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",3.2
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",2.0
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",2.3
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",2.5
"069 Tibradden, Dún Laoghaire-Rathdown",6.6
"001 Athy East Urban, Co. Kildare",26.9
"002 Athy West Urban, Co. Kildare",35.8
"003 Naas Urban, Co. Kildare",8.1
"004 Athy Rural (Part Rural), Co. Kildare",21.2
"005 Ballaghmoon, Co. Kildare",9.0
"006 Ballitore, Co. Kildare",15.7
"007 Ballybrackan, Co. Kildare",17.6
"008 Ballyshannon, Co. Kildare",9.8
"009 Belan, Co. Kildare",9.4
"010 Bert, Co. Kildare",12.9
"011 Burtown, Co. Kildare",7.4
"012 Carrigeen, Co. Kildare",12.3
"013 Castledermot, Co. Kildare",16.3
"014 Churchtown, Co. Kildare",17.4
"015 Dunmanoge, Co. Kildare",12.9
"016 Fontstown, Co. Kildare",9.4
"017 Graney, Co. Kildare",12.1
"018 Grangemellon, Co. Kildare",18.8
"019 Harristown, Co. Kildare",10.7
"020 Inchaquire, Co. Kildare",9.2
"021 Johnstown, Co. Kildare",8.5
"022 Kilberry, Co. Kildare",21.1
"023 Kildangan, Co. Kildare",9.7
"024 Kilkea, Co. Kildare",13.2
"025 Kilrush, Co. Kildare",3.0
"026 Lackagh, Co. Kildare",12.0
"027 Monasterevin, Co. Kildare",20.8
"028 Moone, Co. Kildare",9.3
"029 Narraghmore, Co. Kildare",9.7
"030 Nurney, Co. Kildare",14.2
"031 Quinsborough, Co. Kildare",13.5
"032 Skerries, Co. Kildare",22.4
"033 Balraheen, Co. Kildare",7.9
"034 Celbridge, Co. Kildare",8.7
"035 Cloncurry, Co. Kildare",4.3
"036 Donadea, Co. Kildare",4.3
"037 Donaghcumper, Co. Kildare",7.1
"038 Kilcock, Co. Kildare",8.8
"039 Leixlip, Co. Kildare",7.6
"040 Maynooth, Co. Kildare",6.2
"041 Straffan, Co. Kildare",4.0
"042 Ballynadrumny, Co. Kildare",10.9
"043 Cadamstown, Co. Kildare",7.2
"044 Carbury, Co. Kildare",16.8
"045 Carrick, Co. Kildare",10.8
"046 Cloncurry, Co. Kildare",6.3
"047 Drehid, Co. Kildare",8.4
"048 Dunfierth, Co. Kildare",10.7
"049 Killinthomas, Co. Kildare",7.8
"050 Kilpatrick, Co. Kildare",11.5
"051 Kilrainy, Co. Kildare",11.4
"052 Lullymore, Co. Kildare",9.7
"053 Rathangan, Co. Kildare",15.8
"054 Thomastown, Co. Kildare",6.1
"055 Windmill Cross, Co. Kildare",15.5
"056 Ballymore Eustace, Co. Kildare",8.4
"057 Ballysax East, Co. Kildare",12.3
"058 Ballysax West, Co. Kildare",11.9
"059 Bodenstown, Co. Kildare",9.6
"060 Carnalway, Co. Kildare",7.6
"061 Carragh, Co. Kildare",5.8
"062 Clane, Co. Kildare",9.0
"063 Donore, Co. Kildare",6.6
"064 Downings, Co. Kildare",13.9
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",5.2
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",18.1
"067 Dunmurry, Co. Kildare",5.1
"068 Feighcullen, Co. Kildare",7.4
"069 Gilltown, Co. Kildare",3.8
"070 Kilcullen, Co. Kildare",12.1
"071 Kildare, Co. Kildare",16.8
"072 Kill, Co. Kildare",5.4
"073 Killashee, Co. Kildare",3.4
"074 Kilmeage North, Co. Kildare",11.9
"075 Kilmeage South, Co. Kildare",16.8
"076 Kilteel, Co. Kildare",2.2
"077 Ladytown, Co. Kildare",3.5
"078 Morristownbiller, Co. Kildare",11.2
"079 Naas Rural, Co. Kildare",7.0
"080 Newtown, Co. Kildare",4.8
"081 Oldconnell, Co. Kildare",9.0
"082 Oughterard, Co. Kildare",4.0
"083 Pollardstown, Co. Kildare",6.3
"084 Rathernan, Co. Kildare",8.1
"085 Rathmore, Co. Kildare",1.7
"086 Robertstown, Co. Kildare",17.7
"087 Timahoe North, Co. Kildare",8.9
"088 Timahoe South, Co. Kildare",14.3
"089 Usk, Co. Kildare",5.4
"001 Kilkenny No. 1 Urban, Co. Kilkenny",23.3
"002 Kilkenny No. 2 Urban, Co. Kilkenny",18.4
"003 Burnchurch, Co. Kilkenny",6.7
"004 Callan Rural, Co. Kilkenny",11.7
"005 Callan Urban, Co. Kilkenny",21.8
"006 Coolaghmore, Co. Kilkenny",4.9
"007 Dunamaggan, Co. Kilkenny",8.6
"008 Earlstown, Co. Kilkenny",5.3
"009 Kells, Co. Kilkenny",9.7
"010 Killamery, Co. Kilkenny",18.3
"011 Kilmaganny, Co. Kilkenny",16.9
"012 Kilmanagh, Co. Kilkenny",7.1
"013 Mallardstown, Co. Kilkenny",2.7
"014 Scotsborough, Co. Kilkenny",8.8
"015 Tullaghanbrogue, Co. Kilkenny",5.2
"016 Boolyglass, Co. Kilkenny",8.5
"017 Fiddown, Co. Kilkenny",15.4
"018 Muckalee, Co. Kilkenny",5.5
"019 Pilltown, Co. Kilkenny",18.0
"020 Templeorum, Co. Kilkenny",12.0
"021 Tubbrid, Co. Kilkenny",5.9
"022 Tullahought, Co. Kilkenny",2.9
"023 Whitechurch, Co. Kilkenny",11.0
"024 Attanagh, Co. Kilkenny",7.8
"025 Ballyragget, Co. Kilkenny",14.2
"026 Castlecomer, Co. Kilkenny",19.5
"027 Clogh, Co. Kilkenny",17.4
"028 Clogharinka, Co. Kilkenny",9.3
"029 Kilmacar, Co. Kilkenny",8.2
"030 Moneenroe, Co. Kilkenny",18.1
"031 Mothell, Co. Kilkenny",10.7
"032 Muckalee, Co. Kilkenny",6.5
"033 Brownsford, Co. Kilkenny",6.4
"034 Dysartmoon, Co. Kilkenny",12.0
"035 Jerpoint West, Co. Kilkenny",12.3
"036 Listerlin, Co. Kilkenny",8.5
"037 Rosbercon Rural, Co. Kilkenny",15.8
"038 Shanbogh, Co. Kilkenny",7.1
"039 The Rower, Co. Kilkenny",11.4
"040 Ballinamara, Co. Kilkenny",8.0
"041 Ballybeagh, Co. Kilkenny",8.6
"042 Ballycallan, Co. Kilkenny",9.8
"043 Clara, Co. Kilkenny",5.8
"044 Coolcraheen, Co. Kilkenny",6.8
"045 Dunbell, Co. Kilkenny",5.6
"046 Dunmore, Co. Kilkenny",3.6
"047 Freshford, Co. Kilkenny",17.3
"048 Gowran, Co. Kilkenny",11.1
"049 Grange, Co. Kilkenny",2.3
"050 Kilkenny Rural, Co. Kilkenny",14.0
"051 Kilkieran, Co. Kilkenny",5.2
"052 Odagh, Co. Kilkenny",7.6
"053 Outrath, Co. Kilkenny",6.1
"054 Paulstown, Co. Kilkenny",13.9
"055 Rathcoole, Co. Kilkenny",3.7
"056 Rathealy, Co. Kilkenny",10.6
"057 St. Canice, Co. Kilkenny",3.6
"058 Shankill, Co. Kilkenny",10.7
"059 Tiscoffin, Co. Kilkenny",8.2
"060 Tullaroan, Co. Kilkenny",12.5
"061 Aghaviller, Co. Kilkenny",11.8
"062 Ballyhale, Co. Kilkenny",11.8
"063 Ballyvool, Co. Kilkenny",8.1
"064 Bennettsbridge, Co. Kilkenny",11.1
"065 Bramblestown, Co. Kilkenny",3.8
"066 Castlebanny, Co. Kilkenny",6.8
"067 Castlegannon, Co. Kilkenny",7.3
"068 Coolhill, Co. Kilkenny",8.2
"069 Danesfort, Co. Kilkenny",5.4
"070 Ennisnag, Co. Kilkenny",7.9
"071 Famma, Co. Kilkenny",4.7
"072 Freaghana, Co. Kilkenny",14.5
"073 Goresbridge, Co. Kilkenny",19.6
"074 Graiguenamanagh, Co. Kilkenny",19.1
"075 Inistioge, Co. Kilkenny",13.5
"076 Jerpoint Church, Co. Kilkenny",16.5
"077 Kilfane, Co. Kilkenny",8.2
"078 Kilkeasy, Co. Kilkenny",5.4
"079 Kiltorcan, Co. Kilkenny",6.8
"080 Knocktopher, Co. Kilkenny",9.8
"081 Pleberstown, Co. Kilkenny",4.5
"082 Powerstown, Co. Kilkenny",14.1
"083 Stonyford, Co. Kilkenny",8.2
"084 Thomastown, Co. Kilkenny",16.7
"085 Tullaherin, Co. Kilkenny",5.3
"086 Ullard, Co. Kilkenny",15.1
"087 Woolengrange, Co. Kilkenny",7.9
"088 Balleen, Co. Kilkenny",6.7
"089 Ballyconra, Co. Kilkenny",4.9
"090 Baunmore, Co. Kilkenny",6.3
"091 Clomantagh, Co. Kilkenny",11.6
"092 Galmoy, Co. Kilkenny",11.5
"093 Glashare, Co. Kilkenny",4.7
"094 Johnstown, Co. Kilkenny",22.2
"095 Lisdowney, Co. Kilkenny",12.5
"096 Rathbeagh, Co. Kilkenny",9.4
"097 Tubbridbrittain, Co. Kilkenny",12.5
"098 Urlingford, Co. Kilkenny",28.3
"099 Aglish, Co. Kilkenny",10.4
"100 Ballincrea, Co. Kilkenny",3.8
"101 Dunkitt, Co. Kilkenny",7.6
"102 Farnoge, Co. Kilkenny",3.0
"103 Kilbeacon, Co. Kilkenny",3.2
"104 Kilbride, Co. Kilkenny",10.1
"105 Kilcolumb, Co. Kilkenny",6.9
"106 Kilculliheen (part), Co. Kilkenny",16.3
"107 Killahy, Co. Kilkenny",9.4
"108 Kilmakevoge, Co. Kilkenny",15.4
"109 Pollrone, Co. Kilkenny",16.9
"110 Portnascully, Co. Kilkenny",14.0
"111 Rathpatrick, Co. Kilkenny",11.5
"112 Rossinan, Co. Kilkenny",10.2
"113 Ullid, Co. Kilkenny",10.1
"001 Abbeyleix, Co. Laois",15.3
"002 Aghmacart, Co. Laois",4.3
"003 Ballinakill, Co. Laois",13.8
"004 Ballyroan, Co. Laois",12.7
"005 Blandsfort, Co. Laois",3.8
"006 Caher, Co. Laois",5.7
"007 Castletown, Co. Laois",13.3
"008 Clash, Co. Laois",9.6
"009 Clonkeen, Co. Laois",6.3
"010 Colt, Co. Laois",4.9
"011 Cuffsborough, Co. Laois",7.5
"012 Cullahill, Co. Laois",8.6
"013 Cullenagh, Co. Laois",4.3
