,Household median gross income (Euro) by Electoral Division and Year,
,,
1589,"104 Whitechurch, Co. Cork",67712
1683,"198 Aglish, Co. Cork",67641
1574,"089 Firmount, Co. Cork",67602
1571,"086 Douglas, Co. Cork",67579
781,"009 Dunboyne, Co. Meath",67564
206,"152 Ushers A, Dublin City",67561
1512,"026 Knockroe, Co. Cork",67527
594,"016 Dunmore, Co. Laois",67486
18,"018 Burton Hall, Co. Carlow",67335
786,"014 Kilmore, Co. Meath",67309
1582,"097 Matehy, Co. Cork",67113
1295,"036 Killone, Co. Clare",67093
1740,"255 Dungourney, Co. Cork",67039
260,"044 Templeogue-Orwell, South Dublin",66991
261,"045 Templeogue-Osprey, South Dublin",66990
1578,"093 Killeagh, Co. Cork",66967
443,"067 Dunmurry, Co. Kildare",66944
320,"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",66930
1367,"108 Castlecrine, Co. Clare",66754
1303,"044 Tomfinlough, Co. Clare",66715
401,"025 Kilrush, Co. Kildare",66654
319,"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",66619
327,"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",66509
1480,"068 Tramore A, Cork City",66458
1370,"111 Cratloe, Co. Clare",66237
1566,"081 Caherlag, Co. Cork",66203
399,"023 Kildangan, Co. Kildare",66181
848,"076 Clonmacduff, Co. Meath",66102
514,"049 Grange, Co. Kilkenny",66099
98,"044 Clontarf West C, Dublin City",66068
1373,"114 Killokennedy, Co. Clare",66014
78,"024 Beaumont D, Dublin City",65982
619,"041 Ballybrittas, Co. Laois",65822
1678,"193 Liscleary, Co. Cork",65795
2559,"087 Castletaylor, Co. Galway",65789
854,"082 Cill Bhríde, Co. Meath",65729
347,"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",65673
344,"037 Dundrum-Balally, Dún Laoghaire-Rathdown",65628
1575,"090 Glenville, Co. Cork",65626
1202,"023 Lugglass, Co. Wicklow",65524
1696,"211 Kilcullen, Co. Cork",65519
497,"032 Muckalee, Co. Kilkenny",65513
241,"025 Rathfarnham-St. Enda's, South Dublin",65485
789,"017 Rodanstown, Co. Meath",65460
284,"019 Donabate, Fingal",65437
